Category,Marks,Question,Answer
శరీరభాగాలు,400,Skull ని తెలుగులో ఏమని అంటారు?,Skull ని తెలుగులో 'పుర్రె' / 'కపాలము' అంటారు.
శరీరభాగాలు,400,చెవి వేళ్ళ లో Little Finger / Pinky ని తెలుగులో పమంటారు?,చెవి వేళ్ళలో Little Finger / Pinky ని 'చిటికెన వేలు' అంటారు.
శరీరభాగాలు,500,పాదం వెనుక భాగాన్ని పమంటారు?,పాదం వెనుక భాగాన్ని 'మడమ' అంటారు.
శరీరభాగాలు,500,Fist ని తెలుగులో పమంటారు?,Fist ని తెలుగులో 'పిడికిలి' అంటారు.
శరీరభాగాలు,500,చెవికి కమ్మలు లేదా కుండలాలు పెట్టుకునే భాగాన్ని పమంటారు?,చెవికి కమ్మలు లేదా కుండలాలు పెట్టుకునే భాగాన్ని 'చెవి పొర' అంటారు.
శరీరభాగాలు,500,వద్దాణము పెట్టుకునే శరీర భాగాన్ని పమంటారు?,వద్దాణము పెట్టుకునే శరీర భాగాన్ని 'నడుము' అంటారు.
సమయం,100,రోజులో చంద్రుడు సాధారణంగా ఎప్పుడు కనిపిస్తాడు?,రోజులో చంద్రుడు సాధారణంగా రాత్రి భాగంలో కనిపిస్తాడు.
సమయం,200,నిముషానికి ఎన్ని క్షణాలు? తెలుగులో చెప్పాలి.,నిముషానికి అరవై క్షణాలు.
సమయం,300,రోజుకు ఎన్ని గంటలు? తెలుగులో చెప్పాలి.,రోజుకు ఇరవై నాలుగు గంటలు.
సమయం,400,ఒక గంటలో ఎన్ని క్షణాలు ఉంటాయి? తెలుగులో చెప్పాలి.,ఒక గంటలో 3600 క్షణాలు ఉంటాయి.
సమయం,500,సూర్య నమస్కారం ఎప్పుడు చేస్తారు?,సూర్య నమస్కారం ప్రొద్దున / సూర్యోదయం అప్పుడు చేస్తారు.
